Set,MAE,RMSE,MAPE,R2_Score,Directional_Accuracy
Training,2.582009792327881,4.416232009708527,2.1036744,0.9981194734573364,48.62988673730362
Validation,73.24576568603516,74.84047813829592,17.365908,-22.711803436279297,50.2262443438914
Test,121.14176940917969,132.56415752146205,24.845913,-5.0599846839904785,50.76142131979695
Training,3.3055784702301025,6.527944211889753,2.66704,0.9958910942077637,50.16441359152357
Validation,94.88462829589844,96.12089555606522,22.535328,-38.11353302001953,54.75113122171946
Test,142.7677001953125,152.58050513376537,29.544617,-7.028185844421387,51.26903553299492
Training,2.378819704055786,4.07083753249161,1.7945638,0.9984021186828613,48.739495798319325
Validation,61.30813217163086,63.14452822939214,14.516222,-15.879629135131836,49.7737556561086
Test,111.28868865966797,124.01593505851375,22.684753,-4.303643226623535,47.20812182741117
Training,4.964510440826416,6.604002299705211,4.6152453,0.9957948327064514,48.33759590792839
Validation,73.27133178710938,74.72700968567189,17.380026,-22.639957427978516,49.321266968325794
Test,143.5105438232422,160.5922206338931,29.265352,-7.893409729003906,54.314720812182735
Training,3.5157783031463623,5.848851878645915,2.7265275,0.9967015385627747,49.14139568871027
Validation,72.38458251953125,73.95383642431946,17.162024,-22.15329933166504,50.678733031674206
Test,127.4668197631836,140.38018968590262,26.089767,-5.795649528503418,53.80710659898477
Training,16.805797576904297,35.4341033976274,7.030519,0.8789364099502563,49.72597734746073
Validation,194.40191650390625,195.0085034203637,46.30948,-159.9898681640625,46.15384615384615
Test,242.29168701171875,248.20382878795402,51.168324,-20.243999481201172,48.223350253807105
Training,14.0305757522583,31.834965475958487,5.5456934,0.9023769497871399,49.781976744186046
Validation,185.05226135253906,185.70018468959583,44.187515,-142.55426025390625,50.42372881355932
Test,230.3336639404297,236.51246168278323,48.97554,-18.392492294311523,46.69811320754717
Training,17.687774658203125,36.48654302980244,7.7418556,0.8717642426490784,48.837209302325576
Validation,195.9645233154297,196.57648996319475,46.80114,-159.86241149902344,49.57627118644068
Test,241.24537658691406,247.15135639674324,51.364853,-20.176372528076172,48.113207547169814
Training,4.723016262054443,8.874423156044513,3.5393302,0.9924138188362122,49.09156976744186
Validation,105.19837188720703,106.32955661233146,25.061777,-46.065147399902344,51.271186440677965
Test,150.486572265625,159.74493830009138,31.495022,-7.8466691970825195,52.358490566037744
